HIP,RArad,DErad,Hpmag
88,0.26915945,-48.80985914,5.869
107,0.33380178,-50.33739916,5.6243
122,0.39937881,-77.06529443,4.9354
124,0.40424529,61.2228039,5.6725
145,0.45598909,-3.02747915,5.0831
154,0.48996493,-6.01397145,4.412
171,0.54018854,27.08448917,5.8735
183,0.58297533,-29.72044838,4.9895
194,0.62398923,8.4855784,5.7806
301,0.93488525,-17.33596994,4.5366
330,1.05693208,62.28766468,5.9712
343,1.0823396,-16.52888977,5.9562
355,1.12550974,-10.50949437,5.0996
377,1.17188754,-71.43685826,5.5635
379,1.17432274,67.16638779,5.8511
418,1.27555237,61.31396451,5.7814
443,1.33394067,-5.70783238,4.7803
476,1.42473245,13.39628233,5.7076
522,1.57776313,-49.07509412,5.8163
531,1.61052837,64.19616866,5.5684
636,1.94523211,-22.50847536,5.9806
655,2.01465531,-33.52933373,5.8385
677,2.09653385,29.09082837,2.0371
729,2.25974242,18.21202521,5.7323
746,2.2920403,59.15021806,2.3579
761,2.33758603,-27.9879038,5.51
765,2.35224983,-45.74698832,4.0452
813,2.50910232,11.14580907,5.5212
814,2.50945407,-82.22399741,5.453
841,2.58017491,46.07227154,5.1174
910,2.81628367,-15.46732273,5.0025
930,2.89340455,-27.79977841,5.577
950,2.9328672,-35.13339602,5.3425
983,3.04145454,-17.9382176,5.4056
1067,3.30895847,15.1836161,2.7544
1074,3.33145157,-84.99402084,5.8488
1086,3.37889717,41.03572675,5.7891
1158,3.61496759,-7.78053798,5.1798
1168,3.6504504,20.20669713,4.8756
1170,3.66013616,-18.9326863,4.5262
1191,3.72708879,-9.56955074,5.7506
1288,4.0366069,-31.44632826,5.811
1354,4.23771175,61.53319401,5.8988
1366,4.27306553,38.68167907,4.6349
1372,4.28766759,47.94741501,5.839
1473,4.58210536,36.78532727,4.5377
1493,4.65924055,31.517234,5.8849
1562,4.85701294,-8.82382954,3.7314
1599,5.00797597,-64.87762321,4.3442
1630,5.1016333,30.93561533,5.8586
1645,5.14943426,8.19024825,5.5386
1647,5.16267804,-69.62491144,5.496
1657,5.18974482,32.91122838,5.9028
1686,5.28010795,37.96869939,5.2579
1708,5.37990199,-28.98129522,5.3382
1728,5.44264472,-20.05799243,5.439
1921,6.06518431,52.01992475,5.5506
1960,6.19786932,61.8310633,5.3941
1982,6.27660738,53.04678513,5.711
